provinsi,komoditas,n_kabkota,sistem,n_kabkota_harga,frekuensi,keterisian,url,status_verifikasi,catatan,tanggal_akses
Jawa Tengah,cabai_rawit,35,SiHati Jateng (hargajateng.org),35,harian,0.7,https://www.hargajateng.org/,estimasi,"Sistem dan cakupan 35 kab/kota terverifikasi lewat menu Tabel Harga Berdasarkan Kabupaten (dropdown memuat Cilacap s.d. Kota Tegal). SiHati adalah SPA JavaScript sehingga angkanya tidak bisa ditarik tanpa browser; keterisian 0,70 MASIH ESTIMASI dan menentukan peringkat.",2026-08-20
Jawa Tengah,kentang,35,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Jawa Barat,beras,27,PIHPS Bank Indonesia,7,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Jawa Barat,jagung,27,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Jawa Barat,bawang,27,PIHPS Bank Indonesia,7,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Jawa Barat,cabai_besar,27,PIHPS Bank Indonesia,7,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Jawa Barat,cabai_rawit,27,PIHPS Bank Indonesia,7,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Jawa Barat,kentang,27,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Sumatera Utara,beras,33,PIHPS Bank Indonesia,6,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sumatera Utara,jagung,33,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Sumatera Utara,bawang,33,PIHPS Bank Indonesia,6,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sumatera Utara,cabai_besar,33,PIHPS Bank Indonesia,6,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sumatera Utara,cabai_rawit,33,PIHPS Bank Indonesia,6,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sumatera Utara,kentang,33,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Sulawesi Selatan,beras,24,PIHPS Bank Indonesia,5,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sulawesi Selatan,jagung,24,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Sulawesi Selatan,bawang,24,PIHPS Bank Indonesia,5,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sulawesi Selatan,cabai_besar,24,PIHPS Bank Indonesia,5,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sulawesi Selatan,cabai_rawit,24,PIHPS Bank Indonesia,5,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sulawesi Selatan,kentang,24,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Lampung,beras,15,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Lampung,jagung,15,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Lampung,bawang,15,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Lampung,cabai_besar,15,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Lampung,cabai_rawit,15,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Lampung,kentang,15,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Nusa Tenggara Barat,beras,10,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Nusa Tenggara Barat,jagung,10,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Nusa Tenggara Barat,bawang,10,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Nusa Tenggara Barat,cabai_besar,10,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Nusa Tenggara Barat,cabai_rawit,10,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Nusa Tenggara Barat,kentang,10,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
DI Yogyakarta,beras,5,PIHPS Bank Indonesia,1,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
DI Yogyakarta,jagung,5,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
DI Yogyakarta,bawang,5,PIHPS Bank Indonesia,1,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
DI Yogyakarta,cabai_besar,5,PIHPS Bank Indonesia,1,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
DI Yogyakarta,cabai_rawit,5,PIHPS Bank Indonesia,1,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
DI Yogyakarta,kentang,5,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Bali,beras,9,PIHPS Bank Indonesia,1,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Bali,jagung,9,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Bali,bawang,9,PIHPS Bank Indonesia,1,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Bali,cabai_besar,9,PIHPS Bank Indonesia,1,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Bali,cabai_rawit,9,PIHPS Bank Indonesia,1,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Bali,kentang,9,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Sumatera Selatan,beras,17,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sumatera Selatan,jagung,17,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
Sumatera Selatan,bawang,17,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sumatera Selatan,cabai_besar,17,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sumatera Selatan,cabai_rawit,17,PIHPS Bank Indonesia,2,harian,0.95,https://www.bi.go.id/hargapangan,terverifikasi,"PIHPS: 82 kab/kota sampel IHK nasional, 2 pasar per kab/kota; daftar komoditas tidak memuat jagung dan kentang.",2026-08-20
Sumatera Selatan,kentang,17,(tidak ada sumber kab/kota),0,tidak ada,0.0,,terverifikasi,Tidak ditemukan pemantauan harga tingkat kabupaten untuk komoditas ini; harga hanya tersedia di level provinsi.,2026-08-20
