provinsi,asal,tujuan,komoditas,volume_ton,biaya_rp,jarak_km
Jawa Timur,Kota Probolinggo,Kabupaten Sidoarjo,bawang,543.6,38.61,66.4
Jawa Timur,Kota Probolinggo,Kota Pasuruan,bawang,514.4,19.55,35.5
Jawa Timur,Kota Batu,Kabupaten Pasuruan,bawang,1154.0,42.22,34.3
Jawa Timur,Kota Batu,Kabupaten Sidoarjo,bawang,1154.0,56.59,46.1
Jawa Timur,Kabupaten Malang,Kota Malang,cabai_besar,117.6,2.06,16.5
Jawa Timur,Kabupaten Probolinggo,Kota Probolinggo,cabai_besar,26.4,0.46,16.3
Jawa Timur,Kabupaten Pasuruan,Kabupaten Sidoarjo,cabai_besar,224.4,8.53,35.6
Jawa Timur,Kabupaten Pasuruan,Kota Pasuruan,cabai_besar,32.0,0.46,13.4
Jawa Timur,Kabupaten Mojokerto,Kabupaten Sidoarjo,cabai_besar,103.6,2.86,26.0
Jawa Timur,Kabupaten Mojokerto,Kota Mojokerto,cabai_besar,20.8,0.22,10.1
Jawa Timur,Kabupaten Magetan,Kabupaten Madiun,cabai_besar,36.0,1.21,32.0
Jawa Timur,Kabupaten Magetan,Kota Madiun,cabai_besar,30.4,0.61,19.2
Jawa Timur,Kabupaten Gresik,Kabupaten Lamongan,cabai_besar,136.8,3.82,26.3
Jawa Timur,Kabupaten Gresik,Kota Surabaya,cabai_besar,435.2,11.59,25.0
Jawa Timur,Kabupaten Sampang,Kabupaten Bangkalan,cabai_besar,115.2,4.45,36.1
Jawa Timur,Kabupaten Kediri,Kota Kediri,cabai_rawit,1.6,0.01,8.2
Jawa Timur,Kabupaten Malang,Kota Malang,cabai_rawit,100.0,1.75,16.5
Jawa Timur,Kabupaten Pasuruan,Kota Pasuruan,cabai_rawit,36.0,0.51,13.4
Jawa Timur,Kabupaten Mojokerto,Kabupaten Sidoarjo,cabai_rawit,352.0,9.73,26.0
Jawa Timur,Kabupaten Mojokerto,Kota Mojokerto,cabai_rawit,22.4,0.24,10.1
Jawa Timur,Kabupaten Madiun,Kota Madiun,cabai_rawit,17.6,0.24,12.9
Jawa Timur,Kabupaten Magetan,Kota Madiun,cabai_rawit,15.2,0.31,19.2
Jawa Timur,Kabupaten Gresik,Kota Surabaya,cabai_rawit,448.8,11.96,25.0
Jawa Timur,Kabupaten Blitar,Kabupaten Tulungagung,kentang,214.0,8.74,38.7
Jawa Timur,Kabupaten Blitar,Kabupaten Kediri,kentang,210.6,8.3,37.3
Jawa Timur,Kabupaten Blitar,Kota Kediri,kentang,72.8,3.22,41.8
Jawa Timur,Kabupaten Blitar,Kota Blitar,kentang,37.6,0.35,8.8
Jawa Timur,Kabupaten Malang,Kota Malang,kentang,208.8,3.66,16.5
Jawa Timur,Kabupaten Bondowoso,Kabupaten Jember,kentang,632.8,30.83,45.0
Jawa Timur,Kabupaten Bondowoso,Kabupaten Banyuwangi,kentang,413.6,24.58,54.7
Jawa Timur,Kabupaten Bondowoso,Kabupaten Situbondo,kentang,169.6,7.1,38.5
Jawa Timur,Kabupaten Bondowoso,Kabupaten Sumenep,kentang,280.0,32.42,106.9
Jawa Timur,Kabupaten Probolinggo,Kabupaten Pamekasan,kentang,216.0,21.24,91.4
Jawa Timur,Kabupaten Probolinggo,Kota Probolinggo,kentang,60.8,1.07,16.3
Jawa Timur,Kabupaten Pasuruan,Kabupaten Sidoarjo,kentang,532.0,20.21,35.6
Jawa Timur,Kabupaten Pasuruan,Kabupaten Gresik,kentang,333.6,26.41,74.3
Jawa Timur,Kabupaten Pasuruan,Kabupaten Bangkalan,kentang,269.6,22.6,78.5
Jawa Timur,Kabupaten Pasuruan,Kabupaten Sampang,kentang,249.6,24.06,90.0
Jawa Timur,Kabupaten Pasuruan,Kota Pasuruan,kentang,54.4,0.78,13.4
Jawa Timur,Kabupaten Pasuruan,Kota Surabaya,kentang,705.6,40.28,53.5
Jawa Timur,Kabupaten Magetan,Kabupaten Pacitan,kentang,141.6,8.15,55.2
Jawa Timur,Kabupaten Magetan,Kabupaten Ponorogo,kentang,192.0,6.77,33.7
Jawa Timur,Kabupaten Magetan,Kabupaten Trenggalek,kentang,180.0,11.91,63.2
Jawa Timur,Kabupaten Magetan,Kabupaten Tulungagung,kentang,52.4,4.23,76.8
Jawa Timur,Kabupaten Magetan,Kabupaten Nganjuk,kentang,275.2,18.59,64.4
Jawa Timur,Kabupaten Magetan,Kabupaten Madiun,kentang,158.4,5.31,32.0
Jawa Timur,Kabupaten Magetan,Kabupaten Ngawi,kentang,213.6,5.58,25.0
Jawa Timur,Kabupaten Magetan,Kabupaten Bojonegoro,kentang,320.8,22.67,67.4
Jawa Timur,Kabupaten Magetan,Kabupaten Tuban,kentang,296.8,30.75,98.7
Jawa Timur,Kabupaten Magetan,Kota Madiun,kentang,49.6,1.0,19.2
Jawa Timur,Kota Batu,Kabupaten Kediri,kentang,200.6,10.39,48.9
Jawa Timur,Kota Batu,Kabupaten Mojokerto,kentang,280.8,9.51,31.9
Jawa Timur,Kota Batu,Kabupaten Jombang,kentang,332.0,15.39,43.7
Jawa Timur,Kota Batu,Kabupaten Lamongan,kentang,334.4,29.11,82.0
Jawa Timur,Kota Batu,Kota Mojokerto,kentang,33.6,1.48,41.4
