provinsi,komoditas,n_kabkota,n_kabkota_produksi,tahun_awal,tahun_akhir,sumber,url,tanggal_akses,status_verifikasi
Jawa Barat,beras,27,24,2018,2024,BPS – Luas Panen & Produksi Padi (KSA) per kab/kota,https://www.bps.go.id/id/statistics-table/2/NjEjMg==/produksi-tanaman-sayuran.html,2026-08-20,estimasi
Jawa Barat,jagung,27,22,2018,2024,BPS provinsi – produksi jagung menurut kab/kota,https://jatim.bps.go.id/id/statistics-table,2026-08-20,estimasi
Jawa Barat,bawang,27,8,2021,2024,BPS provinsi – produksi bawang daun & bawang merah menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNCMx/-produksi-tanaman-sayuran-bawang-daun-dan-bawang-merah-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur-kuintal-2021-dan-2022.html,2026-08-20,estimasi
Jawa Barat,cabai_besar,27,20,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Jawa Barat,cabai_rawit,27,22,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Jawa Barat,kentang,27,6,2021,2024,BPS provinsi – produksi tanaman sayuran semusim menurut kab/kota,https://jatim.bps.go.id/id/statistics-table/3/%20ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--2023.html?year=2024,2026-08-20,estimasi
Sumatera Utara,beras,33,30,2018,2024,BPS – Luas Panen & Produksi Padi (KSA) per kab/kota,https://www.bps.go.id/id/statistics-table/2/NjEjMg==/produksi-tanaman-sayuran.html,2026-08-20,estimasi
Sumatera Utara,jagung,33,28,2018,2024,BPS provinsi – produksi jagung menurut kab/kota,https://jatim.bps.go.id/id/statistics-table,2026-08-20,estimasi
Sumatera Utara,bawang,33,8,2021,2024,BPS provinsi – produksi bawang daun & bawang merah menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNCMx/-produksi-tanaman-sayuran-bawang-daun-dan-bawang-merah-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur-kuintal-2021-dan-2022.html,2026-08-20,estimasi
Sumatera Utara,cabai_besar,33,24,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Sumatera Utara,cabai_rawit,33,24,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Sumatera Utara,kentang,33,5,2021,2024,BPS provinsi – produksi tanaman sayuran semusim menurut kab/kota,https://jatim.bps.go.id/id/statistics-table/3/%20ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--2023.html?year=2024,2026-08-20,estimasi
Sulawesi Selatan,beras,24,22,2018,2024,BPS – Luas Panen & Produksi Padi (KSA) per kab/kota,https://www.bps.go.id/id/statistics-table/2/NjEjMg==/produksi-tanaman-sayuran.html,2026-08-20,estimasi
Sulawesi Selatan,jagung,24,22,2018,2024,BPS provinsi – produksi jagung menurut kab/kota,https://jatim.bps.go.id/id/statistics-table,2026-08-20,estimasi
Sulawesi Selatan,bawang,24,6,2021,2024,BPS provinsi – produksi bawang daun & bawang merah menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNCMx/-produksi-tanaman-sayuran-bawang-daun-dan-bawang-merah-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur-kuintal-2021-dan-2022.html,2026-08-20,estimasi
Sulawesi Selatan,cabai_besar,24,16,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Sulawesi Selatan,cabai_rawit,24,18,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Sulawesi Selatan,kentang,24,3,2021,2024,BPS provinsi – produksi tanaman sayuran semusim menurut kab/kota,https://jatim.bps.go.id/id/statistics-table/3/%20ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--2023.html?year=2024,2026-08-20,estimasi
Lampung,beras,15,14,2018,2024,BPS – Luas Panen & Produksi Padi (KSA) per kab/kota,https://www.bps.go.id/id/statistics-table/2/NjEjMg==/produksi-tanaman-sayuran.html,2026-08-20,estimasi
Lampung,jagung,15,14,2018,2024,BPS provinsi – produksi jagung menurut kab/kota,https://jatim.bps.go.id/id/statistics-table,2026-08-20,estimasi
Lampung,bawang,15,3,2021,2024,BPS provinsi – produksi bawang daun & bawang merah menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNCMx/-produksi-tanaman-sayuran-bawang-daun-dan-bawang-merah-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur-kuintal-2021-dan-2022.html,2026-08-20,estimasi
Lampung,cabai_besar,15,12,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Lampung,cabai_rawit,15,13,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Lampung,kentang,15,1,2021,2024,BPS provinsi – produksi tanaman sayuran semusim menurut kab/kota,https://jatim.bps.go.id/id/statistics-table/3/%20ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--2023.html?year=2024,2026-08-20,estimasi
Nusa Tenggara Barat,beras,10,10,2018,2024,BPS – Luas Panen & Produksi Padi (KSA) per kab/kota,https://www.bps.go.id/id/statistics-table/2/NjEjMg==/produksi-tanaman-sayuran.html,2026-08-20,estimasi
Nusa Tenggara Barat,jagung,10,10,2018,2024,BPS provinsi – produksi jagung menurut kab/kota,https://jatim.bps.go.id/id/statistics-table,2026-08-20,estimasi
Nusa Tenggara Barat,bawang,10,6,2021,2024,BPS provinsi – produksi bawang daun & bawang merah menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNCMx/-produksi-tanaman-sayuran-bawang-daun-dan-bawang-merah-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur-kuintal-2021-dan-2022.html,2026-08-20,estimasi
Nusa Tenggara Barat,cabai_besar,10,9,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Nusa Tenggara Barat,cabai_rawit,10,10,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Nusa Tenggara Barat,kentang,10,1,2021,2024,BPS provinsi – produksi tanaman sayuran semusim menurut kab/kota,https://jatim.bps.go.id/id/statistics-table/3/%20ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--2023.html?year=2024,2026-08-20,estimasi
DI Yogyakarta,beras,5,4,2018,2024,BPS – Luas Panen & Produksi Padi (KSA) per kab/kota,https://www.bps.go.id/id/statistics-table/2/NjEjMg==/produksi-tanaman-sayuran.html,2026-08-20,estimasi
DI Yogyakarta,jagung,5,4,2018,2024,BPS provinsi – produksi jagung menurut kab/kota,https://jatim.bps.go.id/id/statistics-table,2026-08-20,estimasi
DI Yogyakarta,bawang,5,3,2021,2024,BPS provinsi – produksi bawang daun & bawang merah menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNCMx/-produksi-tanaman-sayuran-bawang-daun-dan-bawang-merah-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur-kuintal-2021-dan-2022.html,2026-08-20,estimasi
DI Yogyakarta,cabai_besar,5,4,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
DI Yogyakarta,cabai_rawit,5,4,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
DI Yogyakarta,kentang,5,0,2021,2024,BPS provinsi – produksi tanaman sayuran semusim menurut kab/kota,https://jatim.bps.go.id/id/statistics-table/3/%20ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--2023.html?year=2024,2026-08-20,estimasi
Bali,beras,9,8,2018,2024,BPS – Luas Panen & Produksi Padi (KSA) per kab/kota,https://www.bps.go.id/id/statistics-table/2/NjEjMg==/produksi-tanaman-sayuran.html,2026-08-20,estimasi
Bali,jagung,9,8,2018,2024,BPS provinsi – produksi jagung menurut kab/kota,https://jatim.bps.go.id/id/statistics-table,2026-08-20,estimasi
Bali,bawang,9,3,2021,2024,BPS provinsi – produksi bawang daun & bawang merah menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNCMx/-produksi-tanaman-sayuran-bawang-daun-dan-bawang-merah-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur-kuintal-2021-dan-2022.html,2026-08-20,estimasi
Bali,cabai_besar,9,7,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Bali,cabai_rawit,9,8,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Bali,kentang,9,2,2021,2024,BPS provinsi – produksi tanaman sayuran semusim menurut kab/kota,https://jatim.bps.go.id/id/statistics-table/3/%20ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--2023.html?year=2024,2026-08-20,estimasi
Sumatera Selatan,beras,17,16,2018,2024,BPS – Luas Panen & Produksi Padi (KSA) per kab/kota,https://www.bps.go.id/id/statistics-table/2/NjEjMg==/produksi-tanaman-sayuran.html,2026-08-20,estimasi
Sumatera Selatan,jagung,17,14,2018,2024,BPS provinsi – produksi jagung menurut kab/kota,https://jatim.bps.go.id/id/statistics-table,2026-08-20,estimasi
Sumatera Selatan,bawang,17,2,2021,2024,BPS provinsi – produksi bawang daun & bawang merah menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNCMx/-produksi-tanaman-sayuran-bawang-daun-dan-bawang-merah-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur-kuintal-2021-dan-2022.html,2026-08-20,estimasi
Sumatera Selatan,cabai_besar,17,12,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Sumatera Selatan,cabai_rawit,17,13,2021,2024,BPS provinsi – produksi cabai besar/rawit/keriting menurut kab/kota,https://jatim.bps.go.id/en/statistics-table/1/MjUzNiMx/produksi-tanaman-sayuran-cabai-besar--cabai-rawit--cabai-keriting-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--kuintal---2021-dan-2022.html,2026-08-20,estimasi
Sumatera Selatan,kentang,17,1,2021,2024,BPS provinsi – produksi tanaman sayuran semusim menurut kab/kota,https://jatim.bps.go.id/id/statistics-table/3/%20ZUhFd1JtZzJWVVpqWTJsV05XTllhVmhRSzFoNFFUMDkjMw==/produksi-tanaman-sayuran-menurut-kabupaten-kota-dan-jenis-tanaman-di-provinsi-jawa-timur--2023.html?year=2024,2026-08-20,estimasi
